IMG_ID,Genome_Status,Genome_Name,Domain,Phylum,Class,Order,Family,Genus,Species,Habitat,Isolation_Country,Genome_Size,Gene_Count,GC_Count,GC_%,w/_Func_Pred_Count,w/_Func_Pred_%,Horizontally_Transferred_Count,Horizontally_Transferred_%,Diseases,Gram_Staining
637000001,Finished,Candidatus_Korebacter_versatilis_Ellin345,Bacteria,Acidobacteria,unclassified,unclassified,unclassified,Candidatus Korebacter,versatilis,"Soil, Terrestrial, Fresh water",Australia,5650368,4837,3298902,0.58,3080,63.68,2357,48.73,None,Gram-
637000002,Finished,Acinetobacter_baylyi_ADP1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,baylyi,"Fresh water, Food, Human skin, Host, Soil",-1,3598621,3433,1454907,0.4,2090,60.88,246,7.17,Nosocomial infection,Gram-
637000004,Finished,Alcanivorax_borkumensis_SK2,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,borkumensis,"Sediment, Marine, Aquatic",-1,3120143,2817,1707585,0.55,1855,65.85,265,9.41,None,Gram-
637000005,Finished,Alkalilimnicola_ehrlichei_MLHE-1,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola,ehrlichei,"Aquatic, Fresh water",USA,3275944,2947,2212286,0.68,2245,76.18,708,24.02,None,Gram-
637000007,Finished,Anaeromyxobacter_dehalogenans_2CP-C,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Anaeromyxobacter,dehalogenans,"Soil, Terrestrial",Cameroon,5013479,4421,3755360,0.75,2957,66.89,229,5.18,None,Gram-
637000008,Finished,Anaplasma_marginale_St._Maries,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,marginale,Host,USA,1197687,1006,596001,0.5,566,56.26,5,0.5,Anaplasmosis,Gram-
637000009,Finished,Anaplasma_phagocytophilum_HZ,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,phagocytophilum,Host,USA,1471282,1335,612582,0.42,709,53.11,81,6.07,Anaplasmosis,Gram-
637000010,Finished,Aquifex_aeolicus_VF5,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,aeolicus,"Hot spring, Marine",-1,1590791,1613,688838,0.43,882,54.68,87,5.39,None,Gram-
637000011,Finished,Candidatus_Phytoplasma_aster_yellows_witches'-broom_AY-WB,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,unclassified,unclassified,Host,USA,723970,734,194109,0.27,357,48.64,26,3.54,"Aster yellows, Witches' Broom",Gram+
637000012,Finished,Aromatoleum_aromaticum_EbN1,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,aromaticum,"Host, Terrestrial, Soil, Sediment",-1,4727255,4686,3058421,0.65,2676,57.11,1652,35.25,None,Gram-
